[2025-11-02 10:03:26] [injury_orchestrator] [INFO] InjuryOrchestratorAgent starting...
[2025-11-02 10:03:26] [injury_orchestrator] [INFO] Initializing InjuryOrchestratorAgent
[2025-11-02 10:03:26] [injury_orchestrator] [INFO] Processing 1 delegation(s)
[2025-11-02 10:03:28] [injury_orchestrator] [INFO] Processing 1 delegation(s)
[2025-11-02 10:03:30] [injury_orchestrator] [INFO] Processing 1 delegation(s)
[2025-11-02 10:03:32] [injury_orchestrator] [INFO] Processing 1 delegation(s)
[2025-11-02 10:03:34] [injury_orchestrator] [INFO] Processing 1 delegation(s)
[2025-11-02 10:03:36] [injury_orchestrator] [INFO] Processing 1 delegation(s)
[2025-11-02 10:03:38] [injury_orchestrator] [INFO] Processing 1 delegation(s)
[2025-11-02 10:03:40] [injury_orchestrator] [INFO] Processing 1 delegation(s)
[2025-11-02 10:03:42] [injury_orchestrator] [INFO] Processing 1 delegation(s)
[2025-11-02 10:03:44] [injury_orchestrator] [INFO] Processing 1 delegation(s)
[2025-11-02 10:03:46] [injury_orchestrator] [INFO] Processing 1 delegation(s)
[2025-11-02 10:03:48] [injury_orchestrator] [INFO] Processing 1 delegation(s)
[2025-11-02 10:03:50] [injury_orchestrator] [INFO] Processing 1 delegation(s)
[2025-11-02 10:03:52] [injury_orchestrator] [INFO] Processing 1 delegation(s)
[2025-11-02 10:03:54] [injury_orchestrator] [INFO] Processing 1 delegation(s)
[2025-11-02 10:03:56] [injury_orchestrator] [INFO] Processing 1 delegation(s)
[2025-11-02 10:03:58] [injury_orchestrator] [INFO] Processing 1 delegation(s)
[2025-11-02 10:04:01] [injury_orchestrator] [INFO] Processing 1 delegation(s)
[2025-11-02 10:04:03] [injury_orchestrator] [INFO] Processing 1 delegation(s)
[2025-11-02 10:04:05] [injury_orchestrator] [INFO] Processing 1 delegation(s)
[2025-11-02 10:04:07] [injury_orchestrator] [INFO] Processing 1 delegation(s)
[2025-11-02 10:04:09] [injury_orchestrator] [INFO] Processing 1 delegation(s)
[2025-11-02 10:04:11] [injury_orchestrator] [INFO] Processing 1 delegation(s)
[2025-11-02 10:04:13] [injury_orchestrator] [INFO] Processing 1 delegation(s)
[2025-11-02 10:04:15] [injury_orchestrator] [INFO] Processing 1 delegation(s)
[2025-11-02 10:04:17] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:04:19] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:04:21] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:04:23] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:04:25] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:04:27] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:04:29] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:04:31] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:04:33] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:04:36] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:04:38] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:04:40] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:04:42] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:04:44] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:04:46] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:04:48] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:04:50] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:04:52] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:04:54] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:04:56] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:04:58] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:05:00] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:05:02] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:05:04] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:05:07] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:05:09] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:05:11] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:05:13] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:05:15] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:05:17] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:05:19] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:05:21] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:05:23] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:05:25] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:05:27] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:05:29] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:05:31] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:05:33] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:05:36] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:05:38] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:05:40] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:05:42] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:05:44] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:05:46] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:05:48] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:05:50] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:05:52] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:05:54] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:05:56] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:05:58] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:06:00] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:06:02] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:06:04] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:06:07] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:06:09] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:06:11] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:06:13] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:06:15] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:06:17] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:06:19] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:06:21] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:06:23] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:06:25] [injury_orchestrator] [INFO] Processing 2 delegation(s)
